date,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1973-03-31,0.015265622810870206,-0.013984840252758897,0.00948318455473,0.008371118661880915,0.019214978228868165,-0.02925376722665579,0.00948318455473,0.0239398305296,,-0.014187272,,,,,,,,,,,0.019214978228868165,-0.02925376722665579
1973-04-30,0.02206682751146226,0.04801901125949962,0.0534096103655,0.018106715605222118,0.0006599773564631845,0.06844885100427064,0.0534096103655,0.054180883739,,-0.034163195,,,,,,,,,,,0.0006599773564631845,0.06844885100427064
1973-05-31,-0.011624145749184883,0.10909587886512437,-0.0328195157025,0.035541830376357275,0.002852108981716752,0.1593326591033453,-0.0328195157025,0.0772203891082,,-0.0248486,,,,,,,,,,,0.002852108981716752,0.1593326591033453
1973-06-30,0.04730479751559513,0.03882904374229002,-0.013782300006,0.01906311524162247,0.08902675785135834,0.052329002299215235,-0.013782300006,0.0383540903565,,-0.008888674,,,,,,,,,,,0.08902675785135832,0.052329002299215235
1973-07-31,-0.038703854776096766,0.0586523519437219,-0.042299969933800016,-0.04764091599165268,-0.036247739163147705,0.13124973647636562,-0.0422999699338,-0.0901492928585,,0.013951885,,,,,,,,,,,-0.036247739163147705,0.13124973647636562
1973-08-31,0.16577389678505136,0.022880933485883187,0.0052325398580000005,0.014788245429255636,0.2754222578582251,0.02840816957676077,0.005232539858,0.0295146324968,,-0.006549653,,,,,,,,,,,0.2754222578582251,0.02840816957676077
1973-09-30,0.0852139040331282,-0.009400196046159989,0.0375460812513,-0.03509092826699702,0.11777061554970598,0.008146352311871864,0.0375460812513,-0.057161223699,,-0.003112024,,,,,,,,,,,0.117770615549706,0.008146352311871864
1973-10-31,0.02363752388570994,-0.08620502565748334,-0.000301116028959,0.04505712401720379,0.03998740832176221,-0.17585594089990889,-0.000301116028959,0.0628729811371,,0.019242717,,,,,,,,,,,0.03998740832176221,-0.17585594089990883
1973-11-30,-0.0295313136925879,0.06256889099144551,0.0142316602821,0.04117926890715456,-0.05942104717847652,0.07717781825112205,0.0142316602821,0.0645186426594,,0.007361525,,,,,,,,,,,-0.059421047178476516,0.07717781825112205
1973-12-31,-0.018080826787449968,0.01105856831454229,0.0007724054271850003,0.03281337844093416,-0.030957421658926083,-0.00379977922577936,0.000772405427185,0.0812905968573,,-0.037428016,,,,,,,,,,,-0.03095742165892608,-0.00379977922577936
1974-01-31,0.07394510751991722,-0.14269234790425991,0.117146220599,-0.016973835305631374,0.04443912017604107,-0.22855700687347788,0.117146220599,-0.0625456550345,,0.049057762,,,,,,,,,,,0.04443912017604107,-0.22855700687347785
1974-02-28,0.10725512547281389,0.015463877105337935,0.0496581997912,-0.004471424545888855,0.14659332856718554,0.02907951606215574,0.0496581997912,-0.00020787947837,,-0.050342893,,0.049547176,,-0.031213938,,,,,,,0.14659332856718554,0.029079516062155735
1974-03-31,0.11432103754877077,-0.020005523038781503,0.00654392308912,-0.00045958014662106063,0.18793187644971748,-0.03335523332389567,0.00654392308912,-0.0271804143233,,0.000748639,,0.015874722,,0.0161228,,,,,,,0.18793187644971748,-0.03335523332389567
