date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1992-11-30,Student-t,0.15359547015279737,0.15359547015279737,0.15359547015279737,6.496292184789622e-300,-3.3241307060253664,1.8385969720004196,Tail-dependent
1992-12-31,Student-t,0.16123560549972238,0.16123560549972238,0.16123560549972238,6.496292184789622e-300,-3.7366820552993136,1.9195732095259,Tail-dependent
1993-01-31,Student-t,0.164699576761692,0.164699576761692,0.164699576761692,4.46840020912671e-190,-4.15573563222671,1.9444744977893325,Tail-dependent
1993-02-28,Student-t,0.1620976322324699,0.1620976322324699,0.1620976322324699,6.496292184789622e-300,-3.8964124259648854,1.9118021797517666,Tail-dependent
1993-03-31,Student-t,0.143735310415949,0.143735310415949,0.143735310415949,6.496292184789622e-300,-3.4726034832858312,1.7120661450496353,Tail-dependent
1993-04-30,Student-t,0.1494420435522886,0.1494420435522886,0.1494420435522886,6.496292184789622e-300,-3.0928056720668584,1.778104954880554,Tail-dependent
1993-05-31,Student-t,0.16644747273471389,0.16644747273471389,0.16644747273471389,2.2447715821326203e-22,-3.357196799421186,1.939246064516475,Tail-dependent
1993-06-30,Student-t,0.1673254145588388,0.1673254145588388,0.1673254145588388,9.66965203132593e-31,-6.307905642393976,1.948503910270905,Tail-dependent
1993-07-31,Student-t,0.1781467563468709,0.1781467563468709,0.1781467563468709,1.2585479586438578e-07,-4.684088643890952,2.0321215325085165,Tail-dependent
1993-08-31,Student-t,0.2065135214270208,0.2065135214270208,0.2065135214270208,0.008636252375335008,-4.613677088865748,1.9363731562800668,Tail-dependent
1993-09-30,Student-t,0.22350480953751303,0.22350480953751303,0.22350480953751303,0.02083433819311155,-4.717955892683056,1.8157005667892112,Tail-dependent
1993-10-31,Student-t,0.23970835858556477,0.23970835858556477,0.23970835858556477,0.0347554321261135,-5.491500664462539,1.6496282064562837,Tail-dependent
1993-11-30,Student-t,0.2557617510666755,0.2557617510666755,0.2557617510666755,0.05794662646697054,-4.516421043695054,1.1999975680859607,Tail-dependent
