date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1992-05-31,Student-t,0.14531171581588595,0.14531171581588595,0.14531171581588595,0.0002704477839209855,-0.32284529487006,2.1179509833385755,Tail-dependent
1992-06-30,Student-t,0.1386562353526199,0.1386562353526199,0.1386562353526199,9.238435910920447e-05,-0.031999082145535596,2.108118115876856,Tail-dependent
1992-07-31,Student-t,0.1389579460987226,0.1389579460987226,0.1389579460987226,3.851222023481306e-05,-0.29532306190148194,2.129001282068909,Tail-dependent
1992-08-31,Student-t,0.14539900851169837,0.14539900851169837,0.14539900851169837,7.206288062566492e-05,-0.9788064566756347,2.0908250692888886,Tail-dependent
1992-09-30,Student-t,0.16582133601708512,0.16582133601708512,0.16582133601708512,0.0003930767778458508,-1.345360015284525,2.0554068970030976,Tail-dependent
1992-10-31,Student-t,0.1607848214411579,0.1607848214411579,0.1607848214411579,6.496292184789622e-300,-1.0584991556239869,1.9650795616536667,Tail-dependent
1992-11-30,Student-t,0.16203548845435498,0.16203548845435498,0.16203548845435498,6.496292184789622e-300,-1.3536688165921076,1.9695567567207548,Tail-dependent
1992-12-31,Student-t,0.16709459187582948,0.16709459187582948,0.16709459187582948,2.6734254477017203e-32,-1.6605410802748786,1.9896595645551745,Tail-dependent
1993-01-31,Student-t,0.169658107681736,0.169658107681736,0.169658107681736,1.2931512413170832e-19,-1.8909473262785381,1.993211316042824,Tail-dependent
1993-02-28,Student-t,0.16526741144055007,0.16526741144055007,0.16526741144055007,1.7166836694476823e-22,-0.47805995690960046,1.9794240212202083,Tail-dependent
1993-03-31,Student-t,0.15198488172549854,0.15198488172549854,0.15198488172549854,1.979918394389712e-121,-0.38233078958183153,1.9188977283257531,Tail-dependent
1993-04-30,Student-t,0.1462064925365974,0.1462064925365974,0.1462064925365974,2.1800467638927814e-32,0.13514411984054764,1.941353471655065,Tail-dependent
